time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-18T03:03:54.410Z,37.5306664,-118.8328323,-1.93,1.58,md,19,153,0.05933,0.03,nc,nc72955485,2018-01-18T03:09:03.621Z,"14km WSW of Toms Place, CA",earthquake,0.26,0.53,0.13,18,automatic,nc,nc
2018-01-18T03:02:46.860Z,34.2275,-117.4481667,13.04,1.33,ml,48,34,0.04772,0.21,ci,ci38088968,2018-01-18T03:06:31.197Z,"4km W of Devore, CA",earthquake,0.27,0.51,0.219,27,automatic,ci,ci
2018-01-18T02:47:47.955Z,59.895,-136.569,0,4.5,ml,,,,1.03,ak,ak18088608,2018-01-18T03:03:00.803Z,"85km NW of Skagway, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-01-18T02:45:29.300Z,37.2728348,-121.6490021,4.15,1.65,md,10,87,0.02369,0.04,nc,nc72955475,2018-01-18T02:58:02.557Z,"16km N of Morgan Hill, CA",earthquake,0.34,1.05,0.21,9,automatic,nc,nc
2018-01-18T02:44:09.690Z,38.8293343,-122.8068314,1.34,0.88,md,11,87,0.006449,0.03,nc,nc72955470,2018-01-18T02:52:04.539Z,"7km NW of The Geysers, CA",earthquake,0.26,0.68,,1,automatic,nc,nc
2018-01-18T02:41:47.910Z,37.2731667,-121.6529999,5.18,3.04,ml,82,60,0.0214,0.06,nc,nc72955465,2018-01-18T03:05:30.984Z,"16km N of Morgan Hill, CA",earthquake,0.11,0.32,0.198,18,reviewed,nc,nc
2018-01-18T02:07:27.740Z,38.7352,-119.2418,9.5,1.3,ml,8,114.07,0.252,,nn,nn00618660,2018-01-18T02:08:54.235Z,"10km ESE of Smith Valley, Nevada",earthquake,,,,,automatic,nn,nn
2018-01-18T02:05:03.328Z,41.9002,-119.6213,1.1,2.5,ml,7,77.98,0.139,0.2414,nn,nn00618659,2018-01-18T02:53:45.472Z,"68km ESE of Lakeview, Oregon",earthquake,,3,0.3,5,reviewed,nn,nn
2018-01-18T01:59:56.580Z,38.8283348,-122.856163,1.84,1.32,md,10,96,0.01517,0.02,nc,nc72955460,2018-01-18T02:09:03.458Z,"10km WNW of The Geysers, CA",earthquake,0.3,0.77,0.22,2,automatic,nc,nc
2018-01-18T01:54:07.886Z,38.7345,-119.2395,7.6,1.3,ml,13,75.86,0.251,0.1119,nn,nn00618656,2018-01-18T02:11:56.418Z,"10km ESE of Smith Valley, Nevada",earthquake,,2.7,1.2,6,reviewed,nn,nn
2018-01-18T01:51:01.640Z,27.5921,142.276,31.07,5,mb,,160,0.501,1.06,us,us2000ckm2,2018-01-18T02:02:52.040Z,"56km N of Chichi-shima, Japan",earthquake,8.5,4.3,0.151,14,reviewed,us,us
2018-01-18T01:09:09.890Z,38.8268318,-122.8233337,1.35,0.56,md,8,132,0.01091,0.04,nc,nc72955440,2018-01-18T01:18:02.343Z,"8km NW of The Geysers, CA",earthquake,0.44,1.05,,1,automatic,nc,nc
